"","Lag","beta","se","P_val","RR","inf","sup","IR10","inf10","sup10","significance"
"1","Single PM10",0.00094070282051884,0.00103458910170727,0.363349120754629,1.00945141336332,0.989187956708331,1.03012996572669,0.9451413363321,-1.08120432916686,3.01299657266882,""
"2","NO2",0.000719192182958426,0.0010955449550644,0.511614894267637,1.00721784580987,0.985820727078098,1.02907938639588,0.721784580986751,-1.41792729219021,2.90793863958809,""
"3","SO2",0.0011853629519987,0.00111106502749412,0.286206154333532,1.0119241622003,0.990125827921876,1.03420240253098,1.19241622002986,-0.987417207812391,3.42024025309764,""
"4","NO2+SO2",0.00116729222895104,0.00115841373052814,0.313782362358255,1.01174131670874,0.989028642379495,1.03497557914281,1.17413167087439,-1.09713576205053,3.49755791428081,""
"5","Single NO2",0.00436915855889002,0.00344338148978741,0.204667857817516,1.04466011696482,0.976482264044759,1.11759813788786,4.46601169648151,-2.35177359552406,11.7598137887857,""
"6","PM10",0.00355584633469437,0.00374808248517085,0.342908870764898,1.03619822597364,0.962805410672776,1.11518563523719,3.61982259736433,-3.7194589327224,11.5185635237192,""
"7","SO2",0.00173586238543488,0.00402573560467979,0.666390464053396,1.01751016031706,0.940309884205087,1.10104864762076,1.75101603170591,-5.96901157949128,10.1048647620763,""
"8","PM10+SO2",0.000240149904371569,0.00433782042272175,0.955857726951174,1.00240438495225,0.920701148524899,1.09135798579307,0.240438495225059,-7.92988514751012,9.13579857930702,""
"9","Single SO2",0.00219350931363319,0.00382676976418969,0.566593263429216,1.02217743598574,0.948314012991023,1.10179402215401,2.21774359857434,-5.16859870089766,10.1794022154009,""
"10","PM10",0.00144011983630578,0.00402762693989897,0.72072390378683,1.01450539520582,0.937498342012662,1.0978378849099,1.45053952058216,-6.25016579873379,9.78378849099013,""
"11","NO2",0.00159362751242402,0.00407031948972467,0.695464949937306,1.016063934795,0.938153228343309,1.10044488299016,1.60639347949956,-6.18467716566913,10.0444882990155,""
"12","PM10+NO2",0.00137645284650238,0.00418957269621102,0.742548537084642,1.01385969572982,0.933932515682082,1.10062714956942,1.38596957298218,-6.6067484317918,10.0627149569419,""
