"","Lag","beta","se","P_val","RR","inf","sup","IR10","inf10","sup10","significance"
"1","Single PM10",-0.000435494663841901,0.000650120482207893,0.503041317034754,0.995654522391,0.983048021455539,1.00842268772369,-0.434547760900028,-1.69519785444605,0.842268772368904,""
"2","NO2",-0.000216372190643933,0.000689990307797346,0.753876817373446,0.997838617252404,0.984434876458771,1.01142485896261,-0.21613827475957,-1.55651235412291,1.14248589626136,""
"3","SO2",-0.000427334144198596,0.000684428625837466,0.532479199089142,0.995735776289204,0.982467374399246,1.0091833703776,-0.426422371079604,-1.75326256007536,0.918337037760075,""
"4","NO2+SO2",-0.000248557383007063,0.000699126255024802,0.722244293030347,0.997517512650807,0.983941880281787,1.0112804505893,-0.248248734919321,-1.60581197182134,1.12804505893043,""
"5","Single NO2",-0.00149242582722524,0.00375340546490085,0.690960554163999,0.985186556509164,0.915311343572745,1.06039606953614,-1.4813443490836,-8.46886564272551,6.03960695361423,""
"6","PM10",-0.00543070519713056,0.00437748491720292,0.214942003798474,0.94714124026363,0.869266300107763,1.03199276090298,-5.28587597363701,-13.0733699892237,3.19927609029786,""
"7","SO2",-0.00199365634940389,0.00440789279276254,0.651115728984476,0.980260855658032,0.899126752002904,1.06871622159488,-1.97391443419677,-10.0873247997096,6.87162215948776,""
"8","PM10+SO2",-0.00605849507752888,0.00489269799060122,0.215803024095172,0.941213808779343,0.855147054394176,1.03594279987846,-5.87861912206568,-14.4852945605824,3.59427998784572,""
"9","Single SO2",-9.43325694129725e-05,0.00398389599343808,0.981111839156426,0.999057119097681,0.924014340752927,1.08019441170843,-0.094288090231931,-7.59856592470732,8.01944117084266,""
"10","PM10",-0.00135327245303572,0.00453151820725936,0.765258267762188,0.986558431128148,0.902713112070347,1.07819142650737,-1.34415688718519,-9.7286887929653,7.81914265073678,""
"11","NO2",0.00101586683438955,0.00468322106167707,0.82829947532632,1.01021044278643,0.921610621110015,1.10732788374944,1.02104427864345,-7.83893788899851,10.7327883749445,""
"12","PM10+NO2",0.00145703754654391,0.00507541163974091,0.774091315244177,1.01467704080778,0.918597073728082,1.12080641947178,1.46770408077763,-8.14029262719184,12.080641947178,""
